Dates,Hours
2022-03-30,18
2022-12-02,19
2022-05-03,19
2022-10-18,21
2022-04-26,19
2022-01-26,17
2022-10-22,14
2022-04-25,15
2022-07-28,14
2022-04-12,21
2022-02-25,14
2022-10-03,12
2022-08-07,14
2022-11-17,20
2022-03-23,9
2022-06-21,9
2022-02-09,12
2022-11-11,13
2022-06-07,8
2022-12-04,20
2022-07-06,10
2022-05-31,8
2022-09-04,13
2022-01-21,22
2022-02-23,8
2022-01-06,13
2022-06-17,8
2022-10-29,23
2022-03-02,7
2022-02-06,20
2022-11-19,1
2022-06-04,2
2022-01-31,22
2022-06-17,6
2022-04-29,1
2022-09-09,2
2022-01-01,5
2022-04-13,2
2022-08-18,4
2022-01-13,4
