tpep_pickup_date,hour_pickup,count
2022-01-01,0,4247
2022-01-01,1,4986
2022-01-01,2,3888
2022-01-01,3,2675
2022-01-01,4,1640
2022-01-01,6,647
2022-01-01,7,843
2022-01-01,8,846
2022-01-01,9,1248
2022-01-01,10,1814
2022-01-01,11,2342
2022-01-01,12,2948
2022-01-01,13,3194
2022-01-01,14,3307
2022-01-01,15,3555
2022-01-01,16,3626
2022-01-01,17,3653
2022-01-01,18,3722
2022-01-01,19,3450
2022-01-01,20,2687
2022-01-01,21,2689
2022-01-01,22,2564
2022-01-01,23,1413
2022-01-02,0,1476
2022-01-02,1,1011
2022-01-02,2,698
2022-01-02,3,498
2022-01-02,4,357
2022-01-02,5,343
2022-01-02,6,605
2022-01-02,7,889
2022-01-02,8,1244
2022-01-02,9,1851
2022-01-02,10,2660
2022-01-02,11,3223
2022-01-02,12,3850
2022-01-02,13,4046
2022-01-02,14,4469
2022-01-02,15,4627
2022-01-02,16,4493
2022-01-02,17,4426
2022-01-02,18,4076
2022-01-02,19,3714
2022-01-02,20,3084
2022-01-02,21,2585
2022-01-02,22,2299
2022-01-02,23,1334
2022-01-03,0,1144
2022-01-03,1,652
2022-01-03,2,369
2022-01-03,3,268
2022-01-03,4,256
2022-01-03,5,479
2022-01-03,6,1301
2022-01-03,7,2629
2022-01-03,8,3473
2022-01-03,9,3756
2022-01-03,10,4081
2022-01-03,11,4213
2022-01-03,12,4479
2022-01-03,13,4822
2022-01-03,14,5390
2022-01-03,15,5743
2022-01-03,16,5646
2022-01-03,17,5267
2022-01-03,18,4935
2022-01-03,19,3785
2022-01-03,20,2984
2022-01-03,21,2626
2022-01-03,22,2250
2022-01-03,23,1238
2022-01-04,0,955
2022-01-04,1,481
2022-01-04,2,256
2022-01-04,3,199
2022-01-04,4,196
2022-01-04,5,446
2022-01-04,6,1418
2022-01-04,7,2950
2022-01-04,8,4020
2022-01-04,9,4122
2022-01-04,10,4247
2022-01-04,11,4390
2022-01-04,12,4603
2022-01-04,13,4607
2022-01-04,14,5173
2022-01-04,15,5637
2022-01-04,16,5375
2022-01-04,17,5484
2022-01-04,18,5340
2022-01-04,19,3955
2022-01-04,20,3153
2022-01-04,21,2859
2022-01-04,22,2595
2022-01-04,23,1492
2022-01-05,0,1110
2022-01-05,1,479
2022-01-05,2,300
2022-01-05,3,164
2022-01-05,4,201
2022-01-05,5,506
2022-01-05,6,1361
2022-01-05,7,3026
2022-01-05,8,4047
2022-01-05,9,4351
2022-01-05,10,4635
2022-01-05,11,4692
2022-01-05,12,4417
2022-01-05,13,4530
2022-01-05,14,5068
2022-01-05,15,5319
2022-01-05,16,5053
2022-01-05,17,5175
2022-01-05,18,5074
2022-01-05,19,4133
2022-01-05,20,3252
2022-01-05,21,2973
2022-01-05,22,2658
2022-01-05,23,1503
2022-01-06,0,1212
2022-01-06,1,582
2022-01-06,2,321
2022-01-06,3,230
2022-01-06,4,208
2022-01-06,5,466
2022-01-06,6,1305
2022-01-06,7,2738
2022-01-06,8,3871
2022-01-06,9,4081
2022-01-06,10,4338
2022-01-06,11,4483
2022-01-06,12,4785
2022-01-06,14,5581
2022-01-06,15,5901
2022-01-06,16,5582
2022-01-06,17,5847
2022-01-06,18,5753
2022-01-06,19,4736
2022-01-06,20,3582
2022-01-06,21,3456
2022-01-06,22,3377
2022-01-06,23,1861
2022-01-07,0,1466
2022-01-07,1,766
2022-01-07,2,403
