tpep_pickup_date,hour_pickup,count,day_of_week,month_bin,pickup_bin
2022-01-01,0,4247,5,1,0
2022-01-01,1,4986,5,1,0
2022-01-01,2,3888,5,1,0
2022-01-01,3,2675,5,1,0
2022-01-01,4,1640,5,1,0
2022-01-01,6,647,5,1,0
2022-01-01,7,843,5,1,1
2022-01-01,8,846,5,1,1
2022-01-01,9,1248,5,1,1
2022-01-01,10,1814,5,1,1
2022-01-01,11,2342,5,1,1
2022-01-01,12,2948,5,1,1
2022-01-01,13,3194,5,1,2
2022-01-01,14,3307,5,1,2
2022-01-01,15,3555,5,1,2
2022-01-01,16,3626,5,1,2
2022-01-01,17,3653,5,1,2
2022-01-01,18,3722,5,1,2
2022-01-01,19,3450,5,1,3
2022-01-01,20,2687,5,1,3
2022-01-01,21,2689,5,1,3
2022-01-01,22,2564,5,1,3
2022-01-01,23,1413,5,1,3
2022-01-02,0,1476,6,1,0
2022-01-02,1,1011,6,1,0
2022-01-02,2,698,6,1,0
2022-01-02,3,498,6,1,0
2022-01-02,4,357,6,1,0
2022-01-02,5,343,6,1,0
2022-01-02,6,605,6,1,0
2022-01-02,7,889,6,1,1
2022-01-02,8,1244,6,1,1
2022-01-02,9,1851,6,1,1
2022-01-02,10,2660,6,1,1
2022-01-02,11,3223,6,1,1
2022-01-02,12,3850,6,1,1
2022-01-02,13,4046,6,1,2
2022-01-02,14,4469,6,1,2
2022-01-02,15,4627,6,1,2
2022-01-02,16,4493,6,1,2
2022-01-02,17,4426,6,1,2
2022-01-02,18,4076,6,1,2
2022-01-02,19,3714,6,1,3
2022-01-02,20,3084,6,1,3
2022-01-02,21,2585,6,1,3
2022-01-02,22,2299,6,1,3
2022-01-02,23,1334,6,1,3
2022-01-03,0,1144,0,1,0
2022-01-03,1,652,0,1,0
2022-01-03,2,369,0,1,0
2022-01-03,3,268,0,1,0
2022-01-03,4,256,0,1,0
2022-01-03,5,479,0,1,0
2022-01-03,6,1301,0,1,0
2022-01-03,7,2629,0,1,1
2022-01-03,8,3473,0,1,1
2022-01-03,9,3756,0,1,1
2022-01-03,10,4081,0,1,1
2022-01-03,11,4213,0,1,1
2022-01-03,12,4479,0,1,1
2022-01-03,13,4822,0,1,2
2022-01-03,14,5390,0,1,2
2022-01-03,15,5743,0,1,2
2022-01-03,16,5646,0,1,2
2022-01-03,17,5267,0,1,2
2022-01-03,18,4935,0,1,2
2022-01-03,19,3785,0,1,3
2022-01-03,20,2984,0,1,3
2022-01-03,21,2626,0,1,3
2022-01-03,22,2250,0,1,3
2022-01-03,23,1238,0,1,3
2022-01-04,0,955,1,1,0
2022-01-04,1,481,1,1,0
2022-01-04,2,256,1,1,0
2022-01-04,3,199,1,1,0
2022-01-04,4,196,1,1,0
2022-01-04,5,446,1,1,0
2022-01-04,6,1418,1,1,0
2022-01-04,7,2950,1,1,1
2022-01-04,8,4020,1,1,1
2022-01-04,9,4122,1,1,1
2022-01-04,10,4247,1,1,1
2022-01-04,11,4390,1,1,1
2022-01-04,12,4603,1,1,1
2022-01-04,13,4607,1,1,2
2022-01-04,14,5173,1,1,2
2022-01-04,15,5637,1,1,2
2022-01-04,16,5375,1,1,2
2022-01-04,17,5484,1,1,2
2022-01-04,18,5340,1,1,2
2022-01-04,19,3955,1,1,3
2022-01-04,20,3153,1,1,3
2022-01-04,21,2859,1,1,3
2022-01-04,22,2595,1,1,3
2022-01-04,23,1492,1,1,3
2022-01-05,0,1110,2,1,0
2022-01-05,1,479,2,1,0
2022-01-05,2,300,2,1,0
2022-01-05,3,164,2,1,0
2022-01-05,4,201,2,1,0
2022-01-05,5,506,2,1,0
2022-01-05,6,1361,2,1,0
2022-01-05,7,3026,2,1,1
2022-01-05,8,4047,2,1,1
2022-01-05,9,4351,2,1,1
2022-01-05,10,4635,2,1,1
2022-01-05,11,4692,2,1,1
2022-01-05,12,4417,2,1,1
2022-01-05,13,4530,2,1,2
2022-01-05,14,5068,2,1,2
2022-01-05,15,5319,2,1,2
2022-01-05,16,5053,2,1,2
2022-01-05,17,5175,2,1,2
2022-01-05,18,5074,2,1,2
2022-01-05,19,4133,2,1,3
2022-01-05,20,3252,2,1,3
2022-01-05,21,2973,2,1,3
2022-01-05,22,2658,2,1,3
2022-01-05,23,1503,2,1,3
2022-01-06,0,1212,3,1,0
2022-01-06,1,582,3,1,0
2022-01-06,2,321,3,1,0
2022-01-06,3,230,3,1,0
2022-01-06,4,208,3,1,0
2022-01-06,5,466,3,1,0
2022-01-06,6,1305,3,1,0
2022-01-06,7,2738,3,1,1
2022-01-06,8,3871,3,1,1
2022-01-06,9,4081,3,1,1
2022-01-06,10,4338,3,1,1
2022-01-06,11,4483,3,1,1
2022-01-06,12,4785,3,1,1
2022-01-06,14,5581,3,1,2
2022-01-06,15,5901,3,1,2
2022-01-06,16,5582,3,1,2
2022-01-06,17,5847,3,1,2
2022-01-06,18,5753,3,1,2
2022-01-06,19,4736,3,1,3
2022-01-06,20,3582,3,1,3
2022-01-06,21,3456,3,1,3
2022-01-06,22,3377,3,1,3
2022-01-06,23,1861,3,1,3
2022-01-07,0,1466,4,1,0
2022-01-07,1,766,4,1,0
2022-01-07,2,403,4,1,0
2022-01-07,3,233,4,1,0
2022-01-07,4,194,4,1,0
2022-01-07,5,280,4,1,0
2022-01-07,6,637,4,1,0
2022-01-07,7,1548,4,1,1
2022-01-07,8,2385,4,1,1
2022-01-07,9,2833,4,1,1
2022-01-07,10,3081,4,1,1
2022-01-07,11,3435,4,1,1
2022-01-07,12,3821,4,1,1
2022-01-07,13,4087,4,1,2
2022-01-07,14,4729,4,1,2
2022-01-07,15,5198,4,1,2
2022-01-07,16,5210,4,1,2
2022-01-07,17,5394,4,1,2
2022-01-07,18,5645,4,1,2
2022-01-07,19,5177,4,1,3
2022-01-07,20,3967,4,1,3
2022-01-07,21,3611,4,1,3
2022-01-07,22,3923,4,1,3
2022-01-07,23,2838,4,1,3
2022-01-08,0,2977,5,1,0
2022-01-08,1,2328,5,1,0
2022-01-08,2,1778,5,1,0
2022-01-08,3,1098,5,1,0
2022-01-08,4,564,5,1,0
2022-01-08,5,359,5,1,0
2022-01-08,6,669,5,1,0
2022-01-08,7,1172,5,1,1
2022-01-08,8,1623,5,1,1
2022-01-08,9,2588,5,1,1
2022-01-08,10,3594,5,1,1
2022-01-08,11,4291,5,1,1
2022-01-08,12,4795,5,1,1
2022-01-08,13,5159,5,1,2
2022-01-08,14,5253,5,1,2
2022-01-08,15,5428,5,1,2
2022-01-08,16,6076,5,1,2
2022-01-08,17,5893,5,1,2
2022-01-08,18,5615,5,1,2
2022-01-08,19,5286,5,1,3
2022-01-08,20,4093,5,1,3
2022-01-08,21,4025,5,1,3
2022-01-08,22,4326,5,1,3
2022-01-08,23,3278,5,1,3
2022-01-09,0,3459,6,1,0
2022-01-09,1,2877,6,1,0
2022-01-09,2,2159,6,1,0
2022-01-09,3,1431,6,1,0
2022-01-09,4,790,6,1,0
2022-01-09,5,396,6,1,0
2022-01-09,6,587,6,1,0
2022-01-09,7,875,6,1,1
2022-01-09,8,1230,6,1,1
2022-01-09,9,1908,6,1,1
2022-01-09,10,2962,6,1,1
2022-01-09,11,3519,6,1,1
2022-01-09,12,4014,6,1,1
2022-01-09,13,4133,6,1,2
2022-01-09,14,4632,6,1,2
2022-01-09,15,4537,6,1,2
2022-01-09,16,4673,6,1,2
2022-01-09,17,4367,6,1,2
2022-01-09,18,3800,6,1,2
2022-01-09,19,3333,6,1,3
2022-01-09,20,2670,6,1,3
2022-01-09,21,2259,6,1,3
2022-01-09,22,1831,6,1,3
2022-01-09,23,1103,6,1,3
2022-01-10,0,854,0,1,0
2022-01-10,1,400,0,1,0
2022-01-10,2,228,0,1,0
2022-01-10,3,202,0,1,0
2022-01-10,4,202,0,1,0
2022-01-10,5,521,0,1,0
2022-01-10,6,1372,0,1,0
2022-01-10,7,3098,0,1,1
2022-01-10,8,4105,0,1,1
2022-01-10,9,3974,0,1,1
2022-01-10,10,3921,0,1,1
2022-01-10,11,4142,0,1,1
2022-01-10,12,4455,0,1,1
2022-01-10,13,4526,0,1,2
2022-01-10,14,5161,0,1,2
2022-01-10,15,6164,0,1,2
2022-01-10,16,5766,0,1,2
2022-01-10,17,5595,0,1,2
2022-01-10,18,5403,0,1,2
2022-01-10,19,4275,0,1,3
2022-01-10,20,3041,0,1,3
2022-01-10,21,2580,0,1,3
2022-01-10,22,1982,0,1,3
2022-01-10,23,1135,0,1,3
2022-01-11,0,955,1,1,0
2022-01-11,1,432,1,1,0
2022-01-11,2,295,1,1,0
2022-01-11,3,157,1,1,0
2022-01-11,4,153,1,1,0
2022-01-11,5,419,1,1,0
2022-01-11,6,1386,1,1,0
2022-01-11,7,3276,1,1,1
2022-01-11,8,4474,1,1,1
2022-01-11,9,4394,1,1,1
2022-01-11,10,4336,1,1,1
2022-01-11,11,4386,1,1,1
2022-01-11,12,4543,1,1,1
2022-01-11,13,4583,1,1,2
2022-01-11,14,5258,1,1,2
2022-01-11,15,5897,1,1,2
2022-01-11,16,5382,1,1,2
2022-01-11,17,5943,1,1,2
2022-01-11,18,6018,1,1,2
2022-01-11,19,4484,1,1,3
2022-01-11,20,3337,1,1,3
2022-01-11,21,3083,1,1,3
2022-01-11,22,2460,1,1,3
2022-01-11,23,1355,1,1,3
2022-01-12,0,877,2,1,0
2022-01-12,1,409,2,1,0
2022-01-12,2,232,2,1,0
2022-01-12,3,142,2,1,0
2022-01-12,4,178,2,1,0
2022-01-12,5,473,2,1,0
2022-01-12,6,1415,2,1,0
2022-01-12,7,3061,2,1,1
2022-01-12,8,4325,2,1,1
2022-01-12,9,4296,2,1,1
2022-01-12,10,4349,2,1,1
2022-01-12,11,4602,2,1,1
2022-01-12,12,4978,2,1,1
2022-01-12,13,4927,2,1,2
2022-01-12,14,5561,2,1,2
2022-01-12,15,5644,2,1,2
2022-01-12,16,5446,2,1,2
2022-01-12,17,5926,2,1,2
2022-01-12,18,5984,2,1,2
2022-01-12,19,4694,2,1,3
2022-01-12,20,3620,2,1,3
2022-01-12,21,3436,2,1,3
2022-01-12,22,3276,2,1,3
2022-01-12,23,1891,2,1,3
2022-01-13,0,1224,3,1,0
2022-01-13,1,740,3,1,0
2022-01-13,2,389,3,1,0
2022-01-13,3,219,3,1,0
2022-01-13,5,456,3,1,0
2022-01-13,6,1383,3,1,0
2022-01-13,7,3132,3,1,1
2022-01-13,8,4234,3,1,1
2022-01-13,9,4239,3,1,1
2022-01-13,10,4362,3,1,1
2022-01-13,11,4588,3,1,1
2022-01-13,12,4857,3,1,1
2022-01-13,13,5118,3,1,2
2022-01-13,14,5805,3,1,2
2022-01-13,15,6019,3,1,2
2022-01-13,16,5564,3,1,2
2022-01-13,17,6025,3,1,2
2022-01-13,18,6242,3,1,2
2022-01-13,19,5114,3,1,3
2022-01-13,20,4133,3,1,3
2022-01-13,21,3848,3,1,3
2022-01-13,22,3743,3,1,3
2022-01-13,23,2301,3,1,3
2022-01-14,0,1807,4,1,0
2022-01-14,1,1012,4,1,0
2022-01-14,2,673,4,1,0
2022-01-14,3,392,4,1,0
2022-01-14,4,329,4,1,0
2022-01-14,5,568,4,1,0
2022-01-14,6,1429,4,1,0
2022-01-14,7,2905,4,1,1
2022-01-14,8,3842,4,1,1
2022-01-14,9,4082,4,1,1
2022-01-14,10,4236,4,1,1
2022-01-14,11,4586,4,1,1
2022-01-14,12,5024,4,1,1
2022-01-14,13,5216,4,1,2
2022-01-14,14,5808,4,1,2
2022-01-14,15,6354,4,1,2
2022-01-14,16,6013,4,1,2
2022-01-14,17,6631,4,1,2
2022-01-14,18,6838,4,1,2
2022-01-14,19,6621,4,1,3
2022-01-14,20,4821,4,1,3
2022-01-14,21,4597,4,1,3
2022-01-14,22,4924,4,1,3
2022-01-14,23,3740,4,1,3
2022-01-15,0,3749,5,1,0
2022-01-15,1,3102,5,1,0
2022-01-15,2,2305,5,1,0
2022-01-15,3,1507,5,1,0
2022-01-15,4,762,5,1,0
2022-01-15,5,361,5,1,0
2022-01-15,6,786,5,1,0
2022-01-15,7,1144,5,1,1
2022-01-15,8,1657,5,1,1
2022-01-15,9,2776,5,1,1
2022-01-15,10,3846,5,1,1
2022-01-15,11,4508,5,1,1
2022-01-15,12,5203,5,1,1
2022-01-15,13,5533,5,1,2
2022-01-15,14,5534,5,1,2
2022-01-15,15,5777,5,1,2
2022-01-15,16,5982,5,1,2
2022-01-15,17,5996,5,1,2
2022-01-15,18,5596,5,1,2
2022-01-15,19,5341,5,1,3
2022-01-15,20,4219,5,1,3
2022-01-15,21,4036,5,1,3
2022-01-15,22,4348,5,1,3
2022-01-15,23,3683,5,1,3
2022-01-16,0,3569,6,1,0
2022-01-16,1,2921,6,1,0
2022-01-16,2,2071,6,1,0
2022-01-16,3,1394,6,1,0
2022-01-16,4,798,6,1,0
2022-01-16,5,368,6,1,0
2022-01-16,6,604,6,1,0
2022-01-16,7,958,6,1,1
2022-01-16,8,1500,6,1,1
2022-01-16,9,2319,6,1,1
2022-01-16,10,3138,6,1,1
2022-01-16,11,3849,6,1,1
2022-01-16,12,4707,6,1,1
2022-01-16,13,4904,6,1,2
2022-01-16,14,5045,6,1,2
2022-01-16,15,5174,6,1,2
2022-01-16,16,5004,6,1,2
2022-01-16,17,4783,6,1,2
2022-01-16,18,4380,6,1,2
2022-01-16,19,3659,6,1,3
2022-01-16,20,3198,6,1,3
2022-01-16,21,2910,6,1,3
2022-01-16,22,2901,6,1,3
2022-01-16,23,1965,6,1,3
2022-01-17,0,1614,0,1,0
2022-01-17,1,851,0,1,0
2022-01-17,2,444,0,1,0
2022-01-17,3,332,0,1,0
2022-01-17,4,270,0,1,0
2022-01-17,5,340,0,1,0
2022-01-17,6,777,0,1,0
2022-01-17,7,1240,0,1,1
2022-01-17,8,2081,0,1,1
2022-01-17,9,2493,0,1,1
2022-01-17,10,2993,0,1,1
2022-01-17,11,3624,0,1,1
2022-01-17,12,4304,0,1,1
2022-01-17,13,4557,0,1,2
2022-01-17,14,4980,0,1,2
2022-01-17,15,5276,0,1,2
2022-01-17,16,4863,0,1,2
2022-01-17,17,4788,0,1,2
2022-01-17,18,4338,0,1,2
2022-01-17,19,3570,0,1,3
2022-01-17,20,3010,0,1,3
2022-01-17,21,2652,0,1,3
2022-01-17,22,2341,0,1,3
2022-01-17,23,1327,0,1,3
2022-01-18,0,1062,1,1,0
2022-01-18,1,417,1,1,0
2022-01-18,2,236,1,1,0
2022-01-18,3,186,1,1,0
2022-01-18,4,198,1,1,0
2022-01-18,5,489,1,1,0
2022-01-18,6,1637,1,1,0
2022-01-18,7,3310,1,1,1
2022-01-18,8,4612,1,1,1
2022-01-18,9,4707,1,1,1
2022-01-18,10,4772,1,1,1
2022-01-18,11,4849,1,1,1
2022-01-18,12,5032,1,1,1
2022-01-18,13,5229,1,1,2
2022-01-18,14,5776,1,1,2
2022-01-18,15,6025,1,1,2
2022-01-18,16,5644,1,1,2
2022-01-18,17,6186,1,1,2
2022-01-18,18,6267,1,1,2
2022-01-18,19,4910,1,1,3
2022-01-18,20,3900,1,1,3
2022-01-18,21,3468,1,1,3
2022-01-18,22,3296,1,1,3
2022-01-18,23,1523,1,1,3
2022-01-19,0,1048,2,1,0
2022-01-19,1,500,2,1,0
2022-01-19,2,316,2,1,0
2022-01-19,3,192,2,1,0
2022-01-19,4,230,2,1,0
2022-01-19,5,525,2,1,0
2022-01-19,6,1511,2,1,0
